id,title,genre,release_year,content_rating,tagline,director
0081398,Raging Bull,Biography,1980,R,An emotionally self-destructive boxer's journey through life; as the violence and temper that leads him to the top in the ring; destroys his life outside it.,Martin Scorsese
0086250,Scarface,Crime,1983,R,The world is yours...,Brian De Palma
0114709,Toy Story,Animation,1995,G,The adventure takes off!,John Lasseter
0097576,Indiana Jones and the Last Crusade,Action,1989,PG-13,The man with the hat is back. And this time; he's bringing his Dad.,Steven Spielberg
0095016,Die Hard,Action,1988,R,40 Stories. Twelve Terrorists. One Cop.,John McTiernan
0093058,Full Metal Jacket,Drama,1987,R,Vietnam can kill me; but it canâ€™t make me care.,Stanley Kubrick
0062622,2001: A Space Odyssey,Mystery,1968,G,An epic drama of adventure and exploration,Stanley Kubrick
0071315,Chinatown,Drama,1974,R,,Roman Polanski
0071853,Monty Python and the Holy Grail,Adventure,1975,PG,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Terry Gilliam; Terry Jones
0055031,Judgment at Nuremberg,Drama,1961,NOT RATED,The event the world will never forget.,Stanley Kramer
0053604,The Apartment,Comedy,1960,APPROVED,Movie-wise; there has never been anything like it - laugh-wise; love-wise; or otherwise-wise!,Billy Wilder
0057115,The Great Escape,Adventure,1963,UNRATED,Put a fence in front of these men...and they'll climb it...,John Sturges
2267998,Gone Girl,Drama,2014,R,You don't know what you've got 'til it's...,David Fincher
0978762,Mary and Max,Animation,2009,NOT RATED,Sometimes perfect strangers make the best friends.,Adam Elliot
0892769,How to Train Your Dragon,Animation,2010,PG,One adventure will change two worlds,Dean DeBlois; Chris Sanders
0167404,The Sixth Sense,Drama,1999,PG-13,Not every gift is a blessing.,M. Night Shyamalan
0268978,A Beautiful Mind,Biography,2001,PG-13,I need to believe that something extra ordinary is possible....,Ron Howard
1205489,Gran Torino,Drama,2008,R,Ever come across somebody you shouldn't have messed with?,Clint Eastwood
0404254,My Sassy Girl,Comedy,2008,NOT RATED,She's Beautiful; Smart; Funny And Totally Crazy.,Yann Samuell
1291584,Warrior,Drama,2011,PG-13,Fight for Family,Gavin O'Connor
0905372,The Thing,Horror,2011,R,It's Not Human. Yet.,Matthijs van Heijningen Jr.
0848228,The Avengers,Action,2012,PG-13,Some assembly required.,Joss Whedon
0266543,Finding Nemo,Animation,2003,G,There are 3.7 trillion fish in the ocean; they're looking for one.,Andrew Stanton; Lee Unkrich
0993846,The Wolf of Wall Street,Biography,2013,R,EARN. SPEND. PARTY.,Martin Scorsese
1979320,Rush,Action,2013,R,Everyone's driven by something.,Ron Howard
0434409,V for Vendetta,Action,2005,R,People should not be afraid of their governments. Governments should be afraid of their people.,James McTeigue
0395169,Hotel Rwanda,Drama,2004,PG-13,When the world closed its eyes; he opened his arms.,Terry George
0758758,Into the Wild,Adventure,2007,R,Into the heart. Into the soul.,Sean Penn
0112641,Casino,Biography,1995,R,No one stays at the top forever.,Martin Scorsese
0117951,Trainspotting,Drama,1996,R,Choose life.,Danny Boyle
0116282,Fargo,Crime,1996,R,A lot can happen in the middle of nowhere.,Joel Coen
0083658,Blade Runner,Sci-Fi,1982,R,Man has made his match... now it's his problem.,Ridley Scott
0118715,The Big Lebowski,Comedy,1998,R,They figured he was a lazy time wasting slacker. They were right.,Joel Coen
0118661,The Avengers,Action,1998,PG-13,Saving the World in Style.,Jeremiah S. Chechik
0093779,The Princess Bride,Adventure,1987,PG,It's as real as the feelings you feel.,Rob Reiner
